Number,entry,meaning
1206,inquiry,問い合わせ
1207,insect,昆虫
1208,insight,洞察
1209,insist,要求する，主張する
1210,insolvency,債務超過
1211,inspect,検査する，点検する
1212,inspection,検査
1213,inspector,検査官
1214,inspiration,ひらめき
1215,inspire,鼓舞する
1216,inspiring,やる気が出るような、活気づける
1217,installation,導入、就任
1218,installed,導入した
1219,instant,瞬間、瞬時
1220,instantly,すぐに，即座に
1221,instead of,の代わりに
1222,instinct,本能
1223,institute,研究所
1224,instruct,指示する
1225,instructed,指示された
1226,instructor,指導者
1227,instrument,楽器、道具、器具
1228,instrumental,重要な役割を果たす
1229,insulated,絶縁された
1230,insulation,絶縁
1231,insurance,保険
1232,insurer,保険会社
1233,integration,統合
1234,intellectual,知的な，知性の
1235,intelligence,知能，諜報
1236,intelligent,知能の高い
1237,intend,意図する
1238,intended,意図した
1239,intense,激しい
1240,intensive,集中的な
1241,intentionally,意図的に
1242,interact,交流する
1243,interest,関心
1244,interface,接点
1245,interfere,干渉する，阻害する
1246,interior,内部の
1247,intermission,休憩時間
1248,internal,内部の
1249,internship,実習
1250,interpret,解釈する，通訳する
1251,interpretation,解釈
1252,interrupt,の邪魔をする，を中断させる
1253,intersection,交差点
1254,intervene,介在する、口をはさむ
1255,intimate,親密な
1256,into,～の中へ
1257,intrigued,興味をそそられる
1258,introduce,紹介する
1259,introduction,紹介，導入
1260,inventory,在庫
1261,invest,投資する
1262,investigate,を調査する
1263,investigation,調査
1264,investment,投資
1265,investor,投資家
1266,invisible,見えない
1267,invitation,招待
1268,invite,招待する
1269,invoice,請求書
1270,involve,関与する
1271,involved,関与した
1272,iris,虹彩
1273,island,島
1274,isolate,孤立させる
1275,issue,問題、（雑誌などの）号
1276,item,項目、商品
1277,itemize,箇条書きにする，項目別にする
1278,join,参加する
1279,journal,日誌、日記
1280,judicial,司法の
1281,justification,正当化
1282,justify,を正当化する
1283,keen,切望した，熱意のある
1284,kettle,やかん
1285,keynote,要旨，基本方針
1286,kitchenette,簡易キッチン
1287,kitchenware,台所用品
1288,knowledgeable,知識豊富な
1289,lab,研究室
1290,labor,労働
1291,ladder,はしご
1292,lag,遅れる
1293,lagoon,環礁
1294,landfill,埋め立て
1295,landlord,家主
1296,landscape,景観
1297,lapse,間違い、うっかり
1298,laptop,ノートパソコン
1299,largely,主として
1300,last,持続する
1301,last-minute,間際での
1302,lasting,永続的な
1303,latest,最新の、最近の
1304,latter,後者の
1305,launch,送り出す
1306,laundry,洗濯場
1307,law,法律
1308,lawsuit,訴訟
1309,lay,を横たえる
1310,layoff,解雇
1311,leak,漏れる
1312,lean,寄りかかる，かがむ
1313,leap,跳ぶ
1314,lease,貸す
1315,leash,ひも、くさり
1316,lecture,講義
1317,leftover,残り物
1318,legal,法律の，合法な
1319,legally,合法的に
1320,legendary,伝説の
1321,legible,判読できる
1322,legislation,立法
1323,lend,貸す
1324,length,長さ
1325,lengthy,長期にわたる、冗長な
1326,less,より少ない
1327,let,～させる
1328,liability,責任
1329,liaison,連絡係、調整
1330,liberty,自由
1331,lifelong,一生の
1332,lifetime,寿命
1333,lift,持ちあげる
1334,lighthouse,灯台
1335,likely,起こりそうな、可能性が高い
1336,likewise,同様に
1337,limit,限度，制限/を制限する
1338,link,つながる
1339,liquidate,現金化する，清算する
1340,liquidity,流動性
1341,listed,上場した
1342,literacy,読み書き
1343,literally,文字通りに
1344,literary,文学の
1345,literature,文学
1346,lively,にぎやかな
1347,load,積み荷/を積む
1348,loan,融資する
1349,local,地元の
1350,locate,特定する
1351,located,（ある場所に）位置する
1352,location,場所
1353,log,丸太、日誌
1354,logical,論理的な
1355,long-term,長期的な
1356,loose,ゆるんだ
1357,loosen,緩む
1358,lord,封建君主，…卿，（（大文字で））神
1359,lost,道に迷った
1360,lovely,美しい
1361,loyal,忠実な
1362,loyalty,忠誠
1363,lucrative,儲かっている
1364,luggage,荷物
1365,lumber,材木、製材
1366,luncheon,昼食
1367,lung,肺
1368,luxury,贅沢，贅沢品/贅沢な
1369,machine,機械
1370,machinery,機械
1371,made,作った
1372,main,主な
1373,mainly,主に
1374,mainstream,主流
1375,maintain,を維持する，だと主張する
1376,maintenance,持続、維持
1377,major,主な、大きな/専攻する
1378,majority,大多数，大半
1379,make,作る、～を～にする
1380,maker,製造元
1381,malfunction,故障
1382,mammal,哺乳動物
1383,manage,管理する、何とかやる
1384,manageable,扱いやすい
1385,management,管理
1386,manager,部長、支配人、監督
1387,mandatory,義務の、必須の
1388,manufacturer,メーカー、製造者
1389,manufacturing,製造している
1390,marine,海の
1391,market,市場、しじょう
1392,marketing,市場調査
1393,marriage,結婚
1394,massive,巨大な，大規模な
1395,mate,友達
1396,material,材料
1397,matter,問題、困ったこと
1398,mature,成熟した
1399,mayor,市長
1400,meal,食事
1401,mean,意味する
1402,meaning,意味
1403,means,手段
1404,meantime,合間
1405,meanwhile,一方で
1406,measure,措置，測るもの/を測る
1407,medical,医学の、医療の
1408,meeting,打ち合わせ
1409,melt,溶ける，を溶かす
1410,member,会員
1411,membrane,膜
1412,memorandum,覚え書き
1413,mend,直す，修正する
1414,mentioned,言った
1415,mentoring,助言している
1416,merchandise,商品
1417,merchant,商人
1418,Mercury,水星
1419,mere,単なる
1420,merely,単に
1421,merge,合併する
1422,merger,合併
1423,metal,金属
1424,metaphor,比喩
1425,method,方法
1426,meticulously,細心の注意を払って
1427,might,～だったのに
1428,mineral,鉱物
1429,minimal,最小の
1430,minimize,最小化する
1431,minister,大臣
1432,minute,分，議事録
1433,misplace,紛失する、置き忘れる
1434,miss,間違う
1435,missing,喪失、不明
1436,mission,使命、任務
1437,misunderstand,勘違いする
1438,mobile,携帯の
1439,moderate,ほどほどの、適度な
1440,modest,少しの，高価ではない、謙虚な
1441,modification,変形
1442,modify,修正する
1443,moment,瞬間，時
1444,momentum,勢い
1445,monetary,金融の，金銭の
1446,month,月
1447,monument,記念碑
1448,mortgage,抵当
1449,motion,動き
1450,motivate,動機付ける
1451,multinational,多国籍の
1452,multiple,多数の、さまざまな
1453,municipal,地方自治体の
1454,murder,(故意の）殺人/…を（故意に）殺す
1455,museum,博物館
1456,must,しなければならない
1457,mutually,相互に，お互いに
1458,mystery,神秘的な
1459,myth,神話
1460,name,名前
1461,narrow,幅が狭い
1462,national,国家の，国民の
1463,native,生まれ故郷の，生来の
1464,natural,自然の
1465,nearby,近くの
1466,nearly,近く、ほとんど
1467,necessarily,必ずしも～でない
1468,necessary,必要な
1469,negative,否定の，悲観的な
1470,neglect,世話を怠る，を省みない
1471,negotiable,交渉可能な
1472,negotiate,交渉する
1473,neighboring,近隣の
1474,neither,どちらでもない
1475,never,１度も～ない
1476,news,ニュース
1477,niche,適所
1478,nod,うなずく
1479,nomination,指名
1480,nominee,候補者
1481,nonrefundable,返金不可の
1482,note,注目する、書き留める
1483,noted,有名な
1484,notice,に気づく/注意、掲示
1485,noticeable,目立つ
1486,noticed,気づいた
1487,notify,通知する
1488,nourish,養う
1489,novel,小説/新奇な
1490,nowhere,どこにも
1491,nuclear,核の
1492,numerous,多数の
1493,nutrition,栄養
1494,obey,従う
1495,object,物体，対象，目的/反対する
1496,objection,異議
1497,objective,目標、目的
1498,obligation,義務
1499,observance,行事、順序
1500,observation,観察
1501,observe,を観察する，を遵守する
1502,obstacle,障害
1503,obtain,を手に入れる
1504,obvious,あきらかな、見えすいた
1505,occasional,時折の
1506,occasionally,ときどき、たまに
1507,occation,場合，とき，機会
1508,occupancy,占有、占有人数
1509,occupation,職業
1510,occupied,使われている，占領されている
1511,occupy,占める，を占領する
1512,occur,発生する
1513,odd,変な，奇数の
1514,offend,気分を害する
1515,office,事務所
1516,official,公式の
1517,on site,現場で
1518,on-time,定刻の
1519,once,かつて、１度
1520,ongoing,進行中の
1521,operate,操作する
1522,operating,作動している
1523,operation,操縦、運営
1524,opinion,意見
1525,opponent,相手
1526,opportunity,機会
1527,opposition,反対
1528,optics,光学
1529,optimize,最適化する
1530,optimum,最適の
1531,option,選択
1532,oral,口頭の，口の
1533,orbit,軌道
1534,order,注文する
1535,ordinance,条例
1536,ordinarily,ふつうは
1537,ore,鉱石
1538,organic,無農薬の
1539,organization,組織、団体
1540,organize,を組織する
1541,organized,組織された
1542,orient,東洋
1543,orientation,適応，順応，方向付け
1544,origin,起源
1545,original,当初の/原文
1546,originate,起こる，生じる
1547,otherwise,さもなければ，それとは違うように
1548,outage,停電
1549,outcome,結果
1550,outgoing,社交的な
1551,outlaw,無法者
1552,outlet,出口
1553,outline,概要
1554,outsource,外注する
1555,outstanding,目立った
1556,outweigh,上回る
1557,overall,全体的な
1558,overbook,過剰予約する
1559,overcome,克服する
1560,overdraft,当座貸越
1561,overdue,期限の過ぎた
1562,overhead,間接の
1563,overlook,見渡す、見落とす
1564,oversee,監督する
1565,oversight,見落とし、手落ち、監視
1566,overtime,延長時間，残業
1567,overwhelm,圧倒する
1568,owing,借りている
1569,own,自分の
1570,ownership,所有権
1571,oxygen,酸素
1572,package,包み、荷物
1573,paid,支払った
1574,painting,絵画
1575,palace,宮殿
1576,pale,青ざめた
1577,paperwork,書類，書類作業
1578,paragraph,段落
1579,parcel,小包
1580,parental,親の
1581,park,公園
1582,parliament,議会、下院
1583,participant,参加者
1584,participate,参加する
1585,participation,参加
1586,particular,特定の，特にその，気むずかしい
1587,particularly,特に
1588,partner,伴侶、相方
1589,passage,（文章の）一節，通路
1590,passenger,乗客
1591,passion,熱望，強い関心
1592,past,過去の
1593,pastor,牧師
1594,pastry,パン菓子
1595,patent,特許
1596,path,小道
1597,patience,辛抱強さ，忍耐
1598,patient,我慢強い/患者
1599,patio,テラス，中庭
1600,patron,愛国者、ファン
1601,pavement,舗装道路
1602,pay,支払う
1603,paycheck,給料
1604,payment,支払い
1605,payroll,給与
1606,peak,頂上
1607,peculiar,奇妙な
1608,pedestrian,歩行者
1609,pediatric,小児科の
1610,peel,皮をむく
1611,peer,同僚、仲間
1612,peninsula,半島
1613,per,～ごとの
1614,perception,洞察（力），知覚
1615,perennial,一年中続く
1616,perform,を行う、機能する
1617,performance,実行、業績、実績
1618,perimeter,周囲
1619,period,期間，時代
1620,periodic,定期的な
1621,periodical,定期的に
1622,perk,ぴんと上げる
1623,permanent,永久の，常設の
1624,permanently,永久に
1625,permissible,許容される、容認できる
1626,permission,許可
1627,permitted,許可した
1628,persistent,根気強い
1629,personnel,人事
1630,perspective,見地，視座
1631,persuade,説得する
1632,pertain,属する，該当する
1633,petrol,ガソリン
1634,pharmaceutical,医薬品の
1635,pharmacist,薬剤師
1636,pharmacy,薬局
1637,phenomenon,現象
1638,philosophy,哲学
1639,phrase,句、熟語
1640,physical,身体の，物理的な
1641,physics,物理学
1642,pick,選ぶ、摘む
1643,picture,絵，写真
1644,picturesque,絵のように美しい
1645,pier,桟橋
1646,pilot,試験的な
1647,pitfall,落とし穴
1648,place,場所
1649,placid,穏かな
1650,plain,簡素な，無地の/高原
1651,plan,計画
1652,plant,植物
1653,pleased,喜んで
1654,pleasure,楽しみ，喜び
1655,pledge,誓約
1656,plenty,たくさん
1657,plumbing,配管工事
1658,plummet,急落する
1659,policy,政策、方針
1660,polish,磨く
1661,polite,礼儀正しい
1662,poll,投票
1663,pond,池
1664,Poor,貧乏な，かわいそうな
1665,poorly,かわいそうに
1666,popularity,人気
1667,population,人口，国民
1668,porch,玄関
1669,portable,携帯できる
1670,portfolio,人物像
1671,portray,描く
1672,position,位置、立場、職
1673,possess,所有する
1674,possible,可能な
1675,posted,投稿した
1676,postpone,延期する
1677,potential,潜在的な
1678,potentially,潜在的に
1679,pottery,陶器
1680,pour,を注ぐ
1681,practically,実質的に，ほとんど
1682,praise,をほめる
1683,pray,祈る
1684,prayer,祈り
1685,preceding,前述の，先行している
1686,precious,貴重な
1687,precise,正確な
1688,precisely,正確に
1689,precision,正確さ
1690,prediction,予測
1691,prefer,をより好む
1692,preferable,望ましい
1693,preference,好み
1694,preferred,好んだ
1695,pregnant,妊娠した
1696,prejudice,先入観，偏見
1697,premier,最高の、トップの
1698,premise,前提，建物
1699,preparation,準備
1700,prepare,準備をする、に準備をさせる
1701,prerequisite,前提条件
1702,prescribe,処方する
1703,prescription,処方箋
1704,presence,存在
1705,present,出席している
1706,preservation,保存
1707,preserve,を保存［保護］する
1708,president,社長、大統領
1709,presidential,大統領の
1710,press,を押す/マスコミ
1711,prestigious,権威のある、誉れ高い
1712,pretend,のふりをする
1713,prevent,を妨げる
1714,prevention,防止，予防
1715,previous,前の
1716,previously,以前は
1717,prey,獲物
1718,price,価格
1719,primarily,主として
1720,prime,主要な，最重要の
1721,primitive,原始的な
1722,principal,第一の，主要な/校長，学長
1723,principle,原理・原則，主義
1724,print,印刷する
1725,prior,優先の
1726,priority,優先度
1727,prison,刑務所
1728,private,個人的な，私的な
1729,privatization,民営化
1730,privilege,特権
1731,probability,確率，可能性
1732,probably,多分
1733,problem,問題
1734,procedure,手順
1735,process,過程/を加工処理する
1736,processor,処理装置
1737,procrastinate,先延ばしにする
1738,procurement,調達
1739,produce,を生みだす、を生産する
1740,product,製品、産物
1741,productivity,生産性
1742,profession,職業
1743,professional,専門職の/専門職の人
1744,proficiency,熟達
1745,proficient,堪能な、熟達した
1746,profit,利益
1747,profitability,収益性
1748,profitable,利益のある
1749,profound,深い，大きな
1750,program,企画、番組
1751,progress,進歩
1752,prohibit,禁止する
1753,prohibited,禁止された
1754,project,計画、事業
1755,prominently,目立って、傑出して
1756,promote,を促進する、昇進する
1757,promotional,販促の
1758,prompted,促した
1759,promptly,早速
1760,pronunciation,発音
1761,proof,証拠
1762,properly,適切に
1763,property,財産、所有地
1764,proportion,比率，割合
1765,proposal,提案
1766,propose,を提案する
1767,proposed,提案した
1768,proposition,提案，主張
1769,proprietor,所有者
1770,prospect,見通し，見込み
1771,prospective,見込みのある
1772,prosperous,繁栄している
1773,prototype,試作品
1774,proud,自慢に思って
1775,proverb,ことわざ
1776,provide,を与える
1777,provider,生産者，供給者
1778,province,州、省
1779,proximity,近さ，近接
1780,prsuasive,説得力のある
1781,prudent,用心深い
1782,psychologist,心理学者
1783,public,公共の/大衆
1784,publication,出版物
1785,publish,を出版する
1786,published,公表した
1787,publisher,出版社
1788,pulp,果肉
1789,pump,ポンプ
1790,punctual,時間を守る
1791,punctuality,時間厳守
1792,purchase,を購入する/購入
1793,purchasing,購入している
1794,purpose,目的
1795,purse,財布
1796,pursuant,に従って
1797,pursue,従事する、追求する
1798,pursuit,追跡，追求
1799,qualification,資格
1800,qualify,資格を与える
1801,quality,質
1802,quantity,量
1803,quarter,四半期
1804,quartet,四人組
1805,query,疑問
1806,quest,探求
1807,questionable,疑わしい
1808,questionnaire,質問表
1809,quickly,すばやく
1810,quit,（を）やめる
1811,quite,まったく
1812,quote,見積り/見積る
1813,racial,人種の
1814,rack,置き棚
1815,rainfall,雨量，降雨
1816,range,範囲/範囲が及ぶ
1817,rapid,急速な
1818,rapidly,素早く
1819,rarely,めったに～ない
1820,rate,率，割合
1821,rather,むしろ
1822,rational,理性的な
1823,raw,生の，原料のままの
1824,ray,光線
1825,reach,着く，届く
1826,readability,読みやすさ
1827,readable,読みやすい
1828,readily,すぐに
1829,realistic,現実的な
1830,realm,領域
1831,rear,後部の
1832,reason,理由，原因
1833,reasonable,合理的な
1834,reasoning,推論
1835,reassurance,安心，再保証
1836,reassure,安心させる
1837,rebate,払い戻し/払戻す
1838,rebel,反逆者
1839,rebuild,再建する，建て直す
1840,recall,呼び戻す
1841,receipt,領収書
1842,receivables,債権
1843,receive,受け取る
1844,received,受け取った
1845,recent,最近の
1846,recently,最近
1847,reception,応接
1848,receptionist,受付係
1849,recession,不況，景気後退
1850,recipient,受取人
1851,reckon,計算する
1852,recognize,認識する
1853,recommend,を薦める
1854,recommendation,推薦
1855,recommended,推薦した
1856,reconfiguration,再構成
1857,recover,回復する
1858,rectify,是正する
1859,redesign,再設計，再設計する
1860,reduce,を減らす
1861,reduced,削減した
1862,reduction,削減
1863,reference,参照
1864,referral,照会
1865,reflect,を反映する，熟考する
1866,refrigerator,冷蔵庫
1867,refugee,難民
1868,refund,払い戻す/払い戻し
1869,refurbish,改修する
1870,refuse,を拒否する
1871,regardless,かかわらず，関係なく
1872,regards,とみなす
1873,regime,政権
1874,region,地域，地方
1875,regional,地方の
1876,registration,登録
1877,regret,後悔する
1878,regrettable,残念な
1879,regular,普通の
1880,regularly,規則的に，定期的に
1881,regulations,規制
1882,regulator,規定者
1883,reimburse,弁償する
1884,reimbursed,払い戻された
1885,reimbursement,返済
1886,reinforce,強化する
1887,reject,拒否する
1888,relation,関係
1889,relatively,比較的に
1890,release,を解き放つ
1891,relevance,関連性
1892,relevant,関連のある
1893,reliable,頼りになる
1894,relief,安堵，軽減
1895,relieve,和らげる，から取り除く
1896,religion,宗教
1897,relocate,移転させる
1898,relocation,移転
1899,reluctant,気が進まない
1900,rely,頼る，信頼する
1901,remain,のままである、残る
1902,remark,ことば，感想/だと述べる
1903,remarkable,目立った，顕著な
1904,remarked,述べた，言った
1905,remind,に思い出させる
1906,reminder,催促
1907,reminisce,懐かしむ
1908,removal,除去
1909,remove,を取り除く
1910,remuneration,報酬
1911,renew,更新する、再開する
1912,renovation,改装
1913,renowned,有名な
1914,rent,家賃/賃貸借する
1915,repair,を修理する
1916,repaired,修復した
1917,repeatedly,繰り返し
1918,replace,に取って代わる
1919,replaced,置き換えた
1920,replacement,交換
1921,report,報告
1922,reported,報告された
1923,reportedly,伝えられるところでは
1924,represent,を表す，を代表する
1925,representation,表現
1926,representative,代表者
1927,republic,共和国
1928,reputation,評判
1929,request,を依頼する/依頼
1930,require,を必要とする
1931,required,要求された
1932,requirement,要求される事柄，必要なもの
1933,reschedule,再度計画する
1934,research,研究、調査
1935,resemble,似ている
1936,reservation,予約
1937,reserve,を取っておく、を予約する
1938,reserved,予約した
1939,residence,住宅
1940,resident,住民
1941,residential,居住の
1942,resistant,耐えられる、抵抗力のある
1943,resolution,解決
1944,resolve,解決する
1945,resources,資源
1946,respectively,それぞれ
1947,response,反応、返答
1948,responsibility,責任
1949,responsible,責任がある
1950,rest,休息する
1951,restore,復旧させる，取り戻す
1952,restrict,制限する
1953,restructure,再構築する
1954,result,結果
1955,resume,履歴書
1956,r_sum_,履歴書
1957,resurfaced,再浮上した
1958,retail,小売り
1959,retailer,小売業者
1960,retention,保持
1961,retirement,退職
1962,retrieve,取り戻す
1963,returned,返った
1964,reunion,同窓会、再会
1965,reveal,明らかにする
1966,revenue,収益
1967,revert,戻る
1968,review,論評、批評/を論評する
1969,reviewing,見直している
1970,revise,改訂する
1971,revised,改訂した
1972,revision,修正
1973,revival,復活した
1974,revolution,革命
1975,revolutionary,革命的な
1976,reward,報償
1977,rid,取り除く
1978,ridge,尾根
1979,rift,切れ目
1980,rigidly,厳しく
1981,rigorous,厳格な
1982,ritual,儀式
1983,river,川
1984,road,道
1985,role,役割
1986,rotate,回転する
1987,rough,ごつごつした，粗い，大雑把な
1988,roughly,大雑把に
1989,routine,いつもの/いつもの手順
1990,routinely,日常的に
1991,row,こぐ
1992,rude,失礼な
1993,ruin,台無しにする
1994,rule,を統治する/規則，習慣
1995,rural,田舎の
1996,sacrifice,犠牲/を犠牲にする
1997,safety,安全性
1998,salesperson,販売員
1999,same,同じ
2000,sanitary,衛生的な
2001,satellite,衛星
2002,satisfaction,満足
2003,satisfactory,満足のいく
2004,satisfied,満足した
2005,saving,貯蓄，値引き
2006,scaffolding,足場
2007,scale,規模
2008,scarcely,ほとんどない
2009,scatter,まき散らす
2010,scene,場面
2011,scenic,眺めがいい、景色の
2012,scheme,計画
2013,scholar,学者
2014,science,科学
2015,scientific,科学の
2016,scientist,科学者
2017,scold,叱る，注意する
2018,scope,範囲、余地
2019,script,台本
2020,scrutiny,綿密な調査、凝視
2021,sculpture,彫刻
2022,search,を捜す/探索，捜索
2023,seat,座席
2024,secretary,秘書
2025,section,部門
2026,sector,分野
2027,secure,を確保する，を安全にする/ゆるぎない
2028,security,安心、安全、治安
2029,seek,を求める
2030,seem,～のように思われる
2031,seldom,めったにしない
2032,select,選ぶ
2033,selected,選択した
2034,senate,上院
2035,senator,上院議員
2036,sensation,感覚
2037,sensible,分別［判断力］がある
2038,sensitive,敏感な，神経質な
2039,sentiment,感情
2040,sequence,連続、連鎖
2041,servant,使用人，お手伝い
2042,settle,を決着させる，落ち着く
2043,several,いくつかの
2044,severe,厳しい
2045,sew,縫う
2046,shade,陰
2047,shady,陰になった
2048,shallow,浅い，軽薄な
2049,shape,形/を形作る
2050,share,分け合う
2051,shareholder,株主
2052,sharpen,研ぐ，尖らせる
2053,sheet,用紙
2054,shift,変化/を変える
2055,shipment,輸送
2056,shipping,郵送、配達
2057,shortage,不足
2058,shorthanded,人手が不足して
2059,shortly,まもなく
2060,showcase,陳列棚
2061,shuttle,往復運転で運ぶ
2062,sidewalk,歩道
2063,sigh,ため息をつく
2064,sign,合図、標識
2065,signature,署名
2066,significance,重要性，意義
2067,significant,重要な
2068,significantly,かなり
2069,silly,馬鹿な
2070,similar,よく似た
2071,similarity,類似（点）
2072,simply,単に
2073,simultaneous,同時の，同時に起こる
2074,since,～以来
2075,sincerely,心から
2076,single,一つの，一人の，独身の
2077,sink,沈む
2078,site,場所、用地
2079,situated,位置している
2080,situation,状況，情勢
2081,sizable,相当大きな、かなり多くの
2082,skid,滑り止め
2083,skill,能力
2084,skin,皮膚，皮膜
2085,slightly,わずかに
2086,slip,滑る
2087,so-called,いわゆる
2088,soak,浸す
2089,social,社会の，社交の
2090,society,社会
2091,solely,単独で
2092,solicit,求める
2093,solid,固い/固体
2094,solution,解決法
2095,somehow,どうにか
2096,somewhat,いくぶん
2097,somewhere,どこか
2098,soon,すぐに
2099,sophisticated,洗練された、高性能の
2100,sorrow,悲しみ，悲哀
2101,sort,種類
2102,source,源、資源
2103,souvenir,お土産
2104,sparkle,輝く
2105,spec,仕様
2106,species,（動植物の）種
2107,specific,具体的な，特定の
2108,specifically,特に
2109,specification,仕様
2110,spectacle,光景，壮観
2111,spectacular,壮観な
2112,spectrum,波長分布
2113,speculate,予測する
2114,speculation,推測、推量
2115,speculator,投機家
2116,spelling,綴り
2117,spent,消費した
2118,spill,こぼす、こぼれる
2119,spiritual,精神の，精神的な
2120,spite,悪意，いじわる
2121,splendid,素晴らしい
2122,spoil,駄目にする
2123,spoilage,腐敗，損傷物
2124,spokesman,代弁者
2125,spouse,配偶者
2126,spread,広がる，を広げる
2127,spring,泉，春
2128,spruce,気の利いた
2129,square,正方形
2130,stability,安定
2131,stable,安定した
2132,stack,積み重ねる
2133,stadium,競技場
2134,stain,汚れ
2135,staircase,階段
2136,stake,くい、棒
2137,standard,標準、基準
2138,stare,じっと見つめる
2139,starve,飢える，を溶かす
2140,statement,話，陳述，声明
2141,stationery,文房具
2142,statistics,統計
2143,status,状態，社会的地位
2144,statute,法令
2145,statutory,法廷の
2146,stay,滞在する
2147,steel,鋼鉄
2148,steep,大幅な、急な
2149,stem,幹
2150,step,足元，階段
2151,stick,くっつく，固執する/棒きれ
2152,sticky,べたつく，粘着した
2153,stiff,硬い，硬直した
2154,still,まだ
2155,stimulate,を刺激する
2156,stimulating,刺激的な
2157,sting,刺す
2158,stir,かき回す
2159,stitch,一編み
2160,stock,株、在庫/を在庫に持つ
2161,stockholder,株主
2162,storage,保存、倉庫
2163,store,保存する，蓄える
2164,strange,奇妙な，見知らぬ
2165,stranger,見知らぬ人，（ある場所に）初めて来た人
2166,strategy,戦略
2167,stream,流れ
2168,strengthen,を強化する
2169,strict,厳しい，厳密な
2170,strictly,厳しく，厳密に
2171,striking,印象的な
2172,strikingly,著しく
2173,string,ひも，糸
2174,strive,努力する
2175,structure,構造
2176,struggle,もがき苦しむ
2177,stupid,馬鹿な
2178,sturdy,頑丈な
2179,subject,科目、題目
2180,submission,提出
2181,submitting,提出している
2182,subscriber,購読者，加入者
2183,subscription,購読，寄付
2184,subsequent,その次の
2185,subside,弱まる，低下する
2186,subsidiary,子会社
2187,substance,物質，実体
2188,substitute,代替する
2189,subtle,微妙な
2190,subtotal,小計
2191,suburban,郊外の
2192,subway,地下鉄
2193,success,成功
2194,successful,成功した
2195,such,そのような
2196,sue,訴える
2197,suffer,苦しむ，を患う
2198,sufficient,十分な
2199,suggest,を提案する、を示唆する
2200,suggested,提案した
2201,suicide,自殺
2202,suitable,適した
2203,suited,適任である
2204,sum,合計
2205,summarize,まとめる
2206,summit,頂上
2207,superb,見事な
2208,superintendent,監督
2209,superiority,優越点
2210,supervise,監督する
2211,supervisor,上司
2212,supplementary,補足の，付録の
2213,supplier,供給者
2214,supply,供給する
2215,supposed,想定した
2216,supposedly,たぶん
2217,suppress,抑える
2218,supreme,最高の
2219,sure,確信して
2220,surface,表面
2221,surgent,外科医
2222,surgeon,外科医
2223,surgery,手術
2224,surprise,を驚かせる/驚き
2225,surrender,降伏する
2226,surround,取り囲む
2227,survey,調査
2228,susceptible,影響を受けやすいです
2229,suspect,を疑う
2230,suspend,中断する
2231,suspicious,不審な
2232,sustainable,持続可能な
2233,swallow,飲み込む
2234,sweep,掃く，を掃くように動かす
2235,swiftly,素早く
2236,sympathetic,思いやりのある
2237,sympathize,同情する
2238,symptom,症状
2239,synergy,相乗効果
2240,synthetic,統合的な
2241,tableware,食器
2242,tactics,戦術
2243,takeoff,離陸，出発
2244,takeover,引継ぎ，買収
2245,tale,お話
2246,talent,才能
2247,talented,才能のある
2248,tame,飼いならす
2249,task,仕事，作業
2250,taste,味/な味がする
2251,tax,税
2252,technical,技術上の、専門的な
2253,technology,テクノロジー、科学技術
2254,temperature,温度，体温
2255,temporary,一時的な
2256,tenant,賃貸人、借家人
2257,tenor,進路、趣旨
2258,tentative,暫定の
2259,tenure,任期
2260,term,期間，学期，用語，条件，間柄
2261,termination,終了
2262,terms,期間、用語
2263,terrible,ひどい，不快な
2264,territory,地域
2265,text,本文、書かれたもの
2266,textile,織物の
2267,than,よりも
2268,theme,テーマ，論題
2269,then,それから、そのとき
2270,theology,神学
2271,theoretical,理論上の
2272,thereby,それによって
2273,therefore,それゆえ
2274,thoroughly,徹底的に
2275,though,だけれども
2276,thousands,of 数千の
2277,thrilled,とてもわくわくして，大喜びした
2278,throat,のど
2279,throughout,至るところに
2280,thus,このように
2281,ticket,切符
2282,tide,潮，風潮
2283,tie,結ぶ，ネクタイ
2284,tighten,締める
2285,tightly,しっかりと
2286,timber,木材
2287,timeline,予定表
2288,tiny,ごく小さい
2289,tip,コツ、先端
2290,tissue,組織、薄絹
2291,tolerable,耐えられる
2292,tolerate,耐える
2293,toll,通行料金
2294,tomb,墓
2295,tone,音，音色，（声・ことばの）調子，
2296,tongue,言葉，舌
2297,tool,道具
2298,top-of-the-line,一線級の
2299,topic,トピック、話題
2300,toward,に向かって
2301,toxic,有毒な
2302,trace,跡［起源］を辿る/跡，痕跡
2303,track,足跡
2304,trade,貿易
2305,trademark,商標
2306,tradition,伝統
2307,traditional,伝統的な
2308,tragedy,悲劇
2309,trail,通った跡，でこぼこ道
2310,train,列車
2311,trained,訓練された
2312,trait,特性，特徴
2313,transact,（取引，業務など）を行う
2314,transaction,取引
2315,transfer,を移す
2316,transferrable,移すことのできる
2317,transit,乗り継ぎ
2318,transition,遷移
2319,translate,を翻訳する
2320,translation,翻訳
2321,transmission,伝送
2322,transmit,送信する
2323,transportation,輸送
2324,treasure,宝，財宝
2325,treasury,宝庫
2326,treat,を扱う
2327,treatment,扱い，処置，治療
2328,tremendous,非常に大きな
2329,trend,傾向，流行
2330,trial,裁判，試み
2331,tribe,部族，部隊
2332,trillion,兆
2333,trip,旅行
2334,troop,群れ
2335,troubleshooting,問題処理
2336,trustee,受託者
2337,trustworthy,信頼できる、信用できる
